WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2024-03-30,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,11975.0,Demonstrations,1535.0,0.7197,36.0185
2024-05-11,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,3027.0,Demonstrations,1535.0,0.7197,36.0185
2024-07-13,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,2,0,11996.0,Demonstrations,1535.0,0.7197,36.0185
2024-09-14,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,14735.0,Demonstrations,1535.0,0.7197,36.0185
2025-02-08,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,713.0,Demonstrations,1535.0,0.7197,36.0185
2025-04-19,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,792.0,Demonstrations,1535.0,0.7197,36.0185
2023-01-07,Eastern Africa,Kenya,Baringo,Strategic developments,Agreement,1,0,,Strategic developments,1535.0,0.7197,36.0185
2023-02-18,Eastern Africa,Kenya,Baringo,Strategic developments,Agreement,1,0,,Strategic developments,1535.0,0.7197,36.0185
2023-05-20,Eastern Africa,Kenya,Baringo,Strategic developments,Agreement,1,0,,Strategic developments,1535.0,0.7197,36.0185
2023-11-11,Eastern Africa,Kenya,Baringo,Strategic developments,Agreement,1,0,,Strategic developments,1535.0,0.7197,36.0185
2024-04-20,Eastern Africa,Kenya,Baringo,Strategic developments,Agreement,1,0,,Strategic developments,1535.0,0.7197,36.0185
2024-11-02,Eastern Africa,Kenya,Baringo,Strategic developments,Agreement,1,0,,Strategic developments,1535.0,0.7197,36.0185
